city,county,zipcode,overall_risk,overall_points,county_voter_reg,county_voter_turnout,county_prop_mail_vote,county_n_precincts,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_college_2008_12,county_unemployment,county_per_cap_gdp,county_pop,county_per_cap_income,county_per_cap_1099_income,county_n_jobs,county_avg_wage,county_med_age,county_prop_m,county_per_cap_precints,good_pension_health,is_county_job_center
Hayward,Alameda,94541,Moderate,52.11,0.8130188885559002,0.6364,0.4833,1041,0.26,0.5,2.56,0.02,1.45,0.64,0.03,0.19,0.37,0.04,46061485,17958593,142413854,287110039,0.12,43042204,162816917,35584630,32044756,43042204,164307278,169551250,170059406,414882077,0,736298038,1153749012,8966037,55985840.4,106688200,0.41100000000000003,0.062,62.71487156852657,1477208,48524,8583,903624,60165,36.6,0.4903576907720535,7.047078001202269e-4,FALSE,TRUE
Healdsburg,Sonoma,95448,Moderate,53.37,0.7457829876765855,0.6968000000000001,0.5943,453,0.2,0.85,2.04,0.03,0.79,0.73,0.06,0.11,0.02,0,9375412,4598789,40922221,48341935,-0.4,3618811,18492708,10322769,7407084,3618811,14248105,13915033,15045501,33703985,4674599,89337167,122913679,2791313,5217749.68,889000,0.321,0.057999999999999996,47.03317120807625,473091,43430,10169,276221,45078,39.9,0.49165698791844226,9.575324831797687e-4,FALSE,TRUE
Hemet,Riverside,92543,Moderate,50.11,0.6519685051631071,0.5115,0.4153,1403,0.19,0.06,3.8,0.17,1.26,0.68,0.11,0.18,0.61,0.02,15756470,4150688,4399157,76959231,-0.21,8718787,46575096,13950695,10392062,8718787,37211881,38686072,50126989,97003344,0,201732060,297446778,8631527,13699871.58,47207899,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,FALSE,FALSE
Hercules,Contra Costa,94547,Low,79.81,0.7539949308861223,0.6535,0.4758,854,1.18,1.42,6.39,0.09,0.49,0.73,0.05,0.07,0.04,0.59,12955172,2026101,46870146,32973834,0.27,16516008,13970056,10463096,11602760,16516008,14018112,14859520,16490956,16214467,0,42796772,58518580,1693565,2331006.16,1456088,0.386,0.062,90.00304785096702,1023344,58611,12481,496937,58042,38.5,0.487620409427802,8.345189887271533e-4,FALSE,FALSE
Hermosa Beach,Los Angeles,90254,Moderate,61.04,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.23,0.43,2.47,0.02,1.09,0.72,0.03,0.14,0.01,0.94,9359020,3787161,19698933,45560197,0.04,8925960,38850561,8426891,9437703,8925960,36713851,37460346,38341477,49464514,0,124077323,171667233,1543973,6305792.04,591000,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Hesperia,San Bernardino,92345,Moderate,60.8,0.6748090460761734,0.5012,0.37189999999999995,1391,0.18,0.77,2.88,0.08,0.34,0.75,0.03,0.03,0.07,0,4173461,1449153,67353517,86982210,-0.21,6071940,33194741,9969579,6450468,6071940,28359006,28924762,33000286,29486418,0,43309915,58114800,2668659,2262595.48,5715475,0.18600000000000003,0.081,34.97512395601215,2003735,29988,4061,885185,41008,31.7,0.4970037489988748,6.942035748240162e-4,FALSE,FALSE
Hidden Hills,Los Angeles,91302,Low,93.06,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,3.72,0,5.13,0.18,0.09,0.83,0.01,0.02,0.08,0,9810093,1912997,20269,5054560,0.09,8029127,2158702,6818302,7092304,8029127,2074071,2152205,2820355,461797,0,2109101,2555372,34791,81115.37,427096,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,TRUE,TRUE
Highland,San Bernardino,92346,Low,88.95,0.6748090460761734,0.5012,0.37189999999999995,1391,0.67,0.02,14.17,0.16,0.12,0.77,0.01,0.02,0.02,0,11483013,810399,751667,36464467,0.55,13249803,19819784,6113332,12492693,13249803,15444271,18945852,20586134,4547512,0,14757025,19124091,515418,810469.41,834389,0.18600000000000003,0.081,34.97512395601215,2003735,29988,4061,885185,41008,31.7,0.4970037489988748,6.942035748240162e-4,FALSE,FALSE
Hillsborough,San Mateo,94010,Low,83.97,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,0.92,0.76,4.79,0.07,0.47,0.75,0.04,0.08,0.25,0.32,27255659,5689071,41562772,54828685,0.07,22495369,24326282,19880416,20085943,22495369,21303987,22809818,24251711,25911087,0,76842812,102692313,2412097,4398283.59,13670000,0.439,0.049,83.74426637114075,703830,74932,21933,468661,72876,39.3,0.49156866647829844,7.885426878649674e-4,FALSE,TRUE
Hollister,San Benito,95023,Moderate,58.69,0.7385668511505972,0.5821000000000001,0.433,59,0.29,1.12,1.56,0.14,0.47,0.76,0.05,0.08,0.07,0,7942772,5090844,74550511,66626171,0.1,7462285,26109166,6173472,6468218,7462285,20940498,23713313,26929033,31206329,0,91589962,120041617,3046562,5082806.51,4573075,0.184,0.09699999999999999,32.161147658798164,54267,36836,5787,21766,38918,34.3,0.4999004867104525,0.0010872169089870456,FALSE,FALSE
Hughson,Stanislaus,95326,Low,80.5,0.7125961812482189,0.5047,0.5289,447,1.26,1.83,9.48,0,0.3,0.73,0.02,0.04,NA,NA,3258181,343788,18847835,10326605,0.14,3483633,2763408,2712972,3253574,3483633,2875844,2957706,2872843,3139177,0,8440344,11517113,250403,436297.16,NA,0.163,0.111,35.30845604991435,509032,31117,4392,223665,39473,32.9,0.4946788141968265,8.781373273193041e-4,FALSE,FALSE
Huntington Beach,Orange,92648,Moderate,55.15,0.8640684252298959,0.6275,0.4654,2109,0.34,0.47,5.32,-0.09,1.81,0.7,0.12,0.24,0.04,0.73,64405000,12115000,111180000,237529000,0.02,62209000,181402000,60210000,58509000,62209000,223567000,217900000,184916000,429641000,0,969493372,1393451316,27836000,55877721.61,8803000,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Huntington Park,Los Angeles,90255,Moderate,59.35,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.46,0.36,4.43,-0.01,1.48,0.72,0.04,0.15,0.74,0.19,11590597,2616752,17697705,48714036,0.17,13567483,29689006,10597799,15134244,13567483,27289170,25966692,26961048,56911271,15200000,144991029,202285647,2047212,7446526.85,35895718,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Huron,Fresno,93234,Moderate,59.33,0.714652135684724,0.5144,0.4532,712,-0.04,0.28,0,0.68,NA,NA,NA,NA,NA,NA,0,911374,2293304,8104392,-1,-224593,5517835,-370994,99472,-224593,1782764,2731583,4995602,NA,NA,NA,NA,NA,NA,NA,0.19399999999999998,0.106,37.123290788562386,909630,30549,4517,441468,37825,30.6,0.49955505400612604,7.827358376482745e-4,NA,FALSE
Imperial,Imperial,92251,Moderate,64.29,0.6502365004640552,0.44530000000000003,0.3225,108,0.21,0.78,1.1,0.05,0.19,0.77,0.01,0.04,NA,NA,1471732,1338647,17070181,21980131,0.15,1823728,8672505,1724265,1094701,1823728,7924120,8041054,8665481,4207276,0,14070637,18180130,298674,901990.96,NA,0.132,0.226,42.24373946652215,167917,28182,3104,74053,34148,31.9,0.5136482398239824,6.431749018860508e-4,FALSE,FALSE
Imperial Beach,San Diego,91932,Low,78.81,0.7251714669285065,0.6071,0.46,2328,0.64,0.11,4.49,0.04,0.46,0.76,0.04,0.06,0.03,0,15105460,3362746,3069868,26891763,-0.09,12860826,20081754,15602060,13276433,12860826,17514834,17872374,18750147,12418086,0,39573373,51912613,1075321,1690424.09,794620,0.344,0.061,59.13658277842412,3022116,44860,9670,1882625,50388,34.6,0.5019456836836856,7.703211921713131e-4,FALSE,TRUE
Indian Wells,Riverside,92210,Low,96.61,0.6519685051631071,0.5115,0.4153,1403,1.08,0.01,9.94,0.04,0.04,1,0.02,0.01,0.02,0.89,17174331,1727855,431513,43039160,0.4,19397674,18026316,10727499,18859826,19397674,17028358,18292985,18541409,1526915,0,28335386,28409159,974198,398912.82,839000,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,TRUE,FALSE
Indio,Riverside,92202,Moderate,65.85,0.6519685051631071,0.5115,0.4153,1403,0.38,0.91,2.51,0.12,0.51,0.7,0.05,0.08,0.28,0.04,25471570,10133204,119612983,130912694,0.26,26086111,67950065,16476113,19736718,26086111,56728512,63623983,70926837,66126814,0,149889247,214716661,6094961,9953096.04,37045900,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,FALSE,FALSE
Industry,Los Angeles,91744,Low,83.13,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,6.01,5.28,59.69,0.05,0.05,1,0,0,-0.01,1.24,622627377,10431384,919075147,174152203,0.04,622321935,103588545,593754066,737310239,622321935,53374230,49466678,57651822,8994206,0,29370785,29226164,227031,267928.02,NA,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,TRUE,TRUE
Inglewood,Los Angeles,90301,Moderate,62.01,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.49,0.48,4.67,0.15,1.46,0.7,0.07,0.15,0.51,0,53012380,11355201,112254142,234467764,0.63,60225604,122541877,29659974,24864659,60225604,91415726,110292174,120116595,254939675,86551302,599586451,857969034,16942134,35141219.9,120496955,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Ione,Amador,95640,Moderate,45.93,0.8293210711387612,0.7343999999999999,0.5184000000000001,59,-0.53,0.46,0.1,0.05,0.38,0.69,0.05,0.05,0.27,0,183542,1901598,3495348,7544300,-0.06,-1459967,2730834,-1318991,-1422236,-1459967,2410353,2185709,2575335,2842254,0,5992774,8722340,355084,399263.86,2056773,0.188,0.077,40.23075716377327,38248,34106,7969,19626,37570,48.2,0.5447218503058465,0.0015425643170884752,FALSE,FALSE
Irvine,Orange,92623,Low,78.41,0.8640684252298959,0.6275,0.4654,2109,0.57,0.06,4.93,0.02,0.31,0.79,0.05,0.06,0.01,0,133318000,27049000,29566000,483399000,0,119200000,208746000,119966000,124188000,119200000,196943000,199854000,206520000,151025000,0,565774306,713777601,24283000,28635911.18,6783000,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Irwindale,Los Angeles,91706,Low,86.26,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,1.2,0.09,4.6,0.13,0.76,0.82,0.07,0.07,0.32,0.31,35052840,7618564,2859154,30371841,0.31,30112196,25079644,18676485,30620784,30112196,17800582,19672264,22535944,23073791,0,73290718,89004942,2247217,2260478.29,9740833,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,TRUE,TRUE
Isleton,Sacramento,95641,Moderate,45.25,0.7350143977736597,0.5869,0.44189999999999996,1330,-1.93,2.23,0.05,0.31,NA,NA,NA,NA,NA,NA,102052,1931385,3441345,1540865,-0.02,-1717232,889897,-1673929,-1588319,-1717232,435453,494550,728558,NA,NA,NA,NA,NA,NA,NA,0.27899999999999997,0.07200000000000001,52.519033474417654,1394438,39207,6314,801064,51750,34.8,0.48970882189587167,9.537892685081732e-4,NA,FALSE
Jackson,Amador,95642,Moderate,50.37,0.8293210711387612,0.7343999999999999,0.5184000000000001,59,0.06,0.93,4.22,0.07,0.67,0.71,0.06,0.09,0.22,0,382965,90721,8826919,9465806,-0.05,294201,4746289,473042,703882,294201,3545509,3413669,4009733,6376957,0,15186339,21471445,542046,881689.14,2123029,0.188,0.077,40.23075716377327,38248,34106,7969,19626,37570,48.2,0.5447218503058465,0.0015425643170884752,FALSE,FALSE
Jurupa Valley,Riverside,92509,Moderate,69.25,0.6519685051631071,0.5115,0.4153,1403,0.13,0.19,1.08,0.18,NA,NA,NA,NA,NA,NA,9320824,8667932,8717248,46620260,-0.25,4790657,37084871,8680446,5314133,4790657,25398840,28545812,35114239,NA,NA,NA,NA,NA,NA,NA,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,NA,FALSE
Kerman,Fresno,93630,Low,86.94,0.714652135684724,0.5144,0.4532,712,0.7,0.56,8.67,0.02,0.2,0.8,0.02,0.05,NA,NA,3243957,374241,8986228,16068813,0.02,3807259,5403483,3669324,3834201,3807259,5241858,4911864,5376542,3243964,0,13287832,16509614,393426,841660.7,NA,0.19399999999999998,0.106,37.123290788562386,909630,30549,4517,441468,37825,30.6,0.49955505400612604,7.827358376482745e-4,TRUE,FALSE
King City,Monterey,93930,Moderate,51.34,0.6775766701887825,0.562,0.588,184,-0.14,0.55,0.24,0.11,0.44,0.75,0.04,0.07,NA,NA,649037,2708607,7170878,13122616,0.45,-1142719,8004401,-4169395,-1608325,-1142719,5242599,6142126,6361862,5807958,0,17465114,23152090,476674,894867.28,NA,0.23199999999999998,0.085,50.36278083453606,406022,40587,9460,223750,42425,32.9,0.5142209383289524,4.53177414031752e-4,FALSE,FALSE
Kingsburg,Fresno,93631,Low,90,0.714652135684724,0.5144,0.4532,712,0.92,0.41,6.62,0.08,0.46,0.71,0.05,0.08,NA,NA,1830287,276326,6589098,16079321,0.31,4491553,4892440,2629738,3531436,4491553,4728643,5400361,5447503,7365800,0,17483514,24739036,795513,1272895.15,NA,0.19399999999999998,0.106,37.123290788562386,909630,30549,4517,441468,37825,30.6,0.49955505400612604,7.827358376482745e-4,FALSE,FALSE
La Canada Flintridge,Los Angeles,91011,Low,81.72,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.85,1.26,3.54,0.04,0.15,0.79,0.02,0.03,0.2,0,16105409,4544887,27417936,21818725,-0.11,12645943,14890826,16568847,11659684,12645943,14657633,14450191,15629848,3270893,0,12032675,15242389,333771,649166.62,4284997,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
La Habra,Orange,90631,Moderate,52.09,0.8640684252298959,0.6275,0.4654,2109,0.15,0.73,1.57,0.04,0.87,0.72,0.06,0.12,0.06,0.22,10121288,6458975,66969541,91616196,1.79,7358051,48562083,984505,2197789,7358051,42852430,42850019,45661370,79371703,0,200624862,280205797,5789097,10910562.82,5349000,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
La Habra Heights,Los Angeles,90631,Low,89.13,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,1.92,0.02,11.73,-0.02,0.22,0.82,0.03,0.05,0.07,0,6459592,550663,89332,5488358,0.04,6105745,3186069,5705825,5768411,6105745,3514576,3245716,3421344,1230710,0,5248393,6431393,137248,291268.13,384923,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,TRUE,TRUE
La Mesa,San Diego,92041,Moderate,67.27,0.7251714669285065,0.6071,0.46,2328,0.67,0.66,25.11,0.03,1.31,0.69,0.11,0.2,0.06,0.4,33530438,1335534,44860426,68073938,0.04,31565648,47282655,29418952,29713285,31565648,43873914,44213041,46583204,89048567,0,203208128,296145363,7285540,13928082.8,4010935,0.344,0.061,59.13658277842412,3022116,44860,9670,1882625,50388,34.6,0.5019456836836856,7.703211921713131e-4,FALSE,TRUE
La Mirada,Los Angeles,90638,Low,94.02,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,1.18,0.19,7.58,-0.01,0.29,0.78,0.03,0.04,-0.1,1.32,56341591,7435489,9678831,50449038,0.07,52163418,44204820,46279277,51824363,52163418,44701146,44707141,44376444,14471965,0,51392097,65664433,1420299,2069479.86,NA,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
La Palma,Orange,90623,Moderate,69.19,0.8640684252298959,0.6275,0.4654,2109,0.51,0.03,3.07,0.1,1.07,0.8,0.08,0.14,0.07,0.56,8987819,2930868,507911,16946478,-0.18,7649007,15131739,11467397,10358256,7649007,9746604,10893971,11789540,18141407,0,60382238,75879824,1339988,2360129.09,1187000,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,TRUE,TRUE
La Puente,Los Angeles,91744,Low,78.5,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.63,0.51,6.18,0.01,0.34,0.69,0.02,0.05,0.18,0.06,7811980,1264798,10520622,20466271,0.01,7997394,12776702,7906933,7191875,7997394,12532851,12169702,12696662,6915558,0,15554365,22399861,458034,948622.87,3781675,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
La Quinta,Riverside,92253,Low,91.94,0.6519685051631071,0.5115,0.4153,1403,1.53,0.05,7.02,0.17,0.18,0.74,0.02,0.03,0.02,0,74640227,10630449,3265877,69791457,0.29,68847118,44887058,41391458,54955195,68847118,41393237,44347239,56310808,12612523,0,35948521,48353208,1061439,1977015.08,1380949,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,FALSE,FALSE
La Verne,Los Angeles,91750,Moderate,64.2,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.3,0.13,2.99,0.01,0.95,0.72,0.08,0.06,0.13,0.29,10863194,3632521,7108727,54208371,0.06,9842672,32956063,10265939,6720907,9842672,30067188,28295880,30471201,51266006,0,133707619,185142295,4280435,2986614.97,7011361,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Lafayette,Contra Costa,94549,Low,95.41,0.7539949308861223,0.6535,0.4758,854,0.76,0.22,7.34,0.05,NA,NA,NA,NA,0.01,0.49,12269771,1670506,5148531,23412302,0.04,13370306,17583597,12563641,13019682,13370306,16243651,16972334,17917603,NA,NA,NA,NA,NA,NA,276174,0.386,0.062,90.00304785096702,1023344,58611,12481,496937,58042,38.5,0.487620409427802,8.345189887271533e-4,NA,FALSE
Laguna Beach,Orange,92651,Low,81.85,0.8640684252298959,0.6275,0.4654,2109,0.74,0.16,6.5,0.05,0.6,0.76,0.06,0.1,0.02,0,65116892,10010650,17500465,109570278,0.06,60476246,81362920,54599119,61299559,60476246,73475115,76706195,81328850,65919168,0,205443966,268974329,6365025,11325202.39,2059862,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Laguna Hills,Orange,92653,Low,74.78,0.8640684252298959,0.6275,0.4654,2109,0.32,0.4,5.25,0.01,0.15,0.82,0.02,0.03,NA,NA,6065376,1155159,9438700,23803214,-0.03,7245472,22730543,7787156,6750166,7245472,20643126,20743842,21243012,3610550,0,15895502,19418967,378900,754272.93,NA,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,TRUE,TRUE
Laguna Niguel,Orange,92677,Low,90.47,0.8640684252298959,0.6275,0.4654,2109,1.64,0.02,17.63,0.01,0.15,0.79,0.01,0.03,0.03,0,73240188,4154810,1162438,51202858,-0.05,74182720,45292108,82650625,73288649,74182720,45342516,40426512,45776989,7784390,0,28681313,36317350,472242,1517745,1425963,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Laguna Woods,Orange,92653,Low,95.37,0.8640684252298959,0.6275,0.4654,2109,1.87,0.01,29.31,0.05,0.01,0.97,0.01,0.01,0.01,0.59,9657559,329511,99158,9012186,0.02,9878287,5278308,9541735,9578914,9878287,5233211,5558230,5711011,112334,0,2753621,2849205,62659,88559.63,46631,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,TRUE,TRUE
Lake Elsinore,Riverside,92530,Moderate,54.8,0.6519685051631071,0.5115,0.4153,1403,0.25,2.79,2.85,0.06,0.13,0.74,0.01,0.02,0.23,0,11898140,4179337,262333214,94190601,-0.03,10807854,42632954,11365894,11512307,10807854,36370680,38957258,40325413,12189277,0,33416606,45102887,1397703,1821152.37,21896884,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,FALSE,FALSE
Lake Forest,Orange,92630,Low,96.17,0.8640684252298959,0.6275,0.4654,2109,1.07,0.1,9.2,0.05,0.03,1.03,0.01,0.01,0,0.72,54282249,5900567,7711439,76633278,0.09,50929392,47413701,42813074,47714770,50929392,46078402,48541157,50653071,2003930,0,30552899,29668643,509038,710205.32,194027,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,TRUE,TRUE
Lakeport,Lake,95453,Low,78.07,0.7518285640959835,0.5531,0.5326,52,0.76,1.15,4.27,0.14,0.66,0.79,0.03,0.08,0.36,0,3306986,774005,15955143,13862948,0.19,3651520,4797822,2592805,2929957,3651520,4210280,4661759,5473700,6657708,2502997,25033393,31658236,478490,1090282.01,5044798,0.168,0.107,26.497950055907566,64392,29721,5516,24538,33682,45,0.5021108791463698,8.075537333830289e-4,FALSE,FALSE
Lakewood,Los Angeles,90712,Low,83.14,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.62,0.17,6.4,0,0.48,0.78,0.02,0.07,0.01,0.91,31110779,4859944,12552208,73491324,-0.04,31311741,50341598,34075647,33971985,31311741,46388748,45510196,46364813,35022074,0,121922863,156895235,1645864,4858699.66,966617,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Lancaster,Los Angeles,93534,Moderate,65.98,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.31,0.31,1.3,0.05,0.38,0.69,0.03,0.06,0.13,0.22,9790321,7515860,47634076,153847163,0.04,21369304,70023738,19783853,20184199,21369304,57032072,59231870,62091871,57734586,0,128899509,186792049,5038379,8532370.89,19529820,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Larkspur,Marin,94939,Low,75.98,0.8589735806570894,0.7798999999999999,0.5870000000000001,189,0.63,0.14,6.47,0.03,0.61,0.74,0.05,0.1,0.69,0.02,11744058,1816133,3726827,25920651,0.23,10589515,16903510,7040695,9149407,10589515,17018997,18085893,18085387,15739557,0,45657839,61428173,1318915,2517706.83,17961393,0.546,0.047,67.9644361065709,248398,90003,30928,181971,56427,44.5,0.4915514106073872,7.608756914306878e-4,FALSE,TRUE
Lathrop,San Joaquin,95330,Low,92.99,0.6505512612372483,0.5142,0.47950000000000004,515,0.95,0.5,2.93,0.11,0.09,0.81,0.01,0.02,0.03,0.68,28685561,9788289,27510549,55305024,0.2,21538365,22579784,15094341,16496212,21538365,19048478,18954503,22852580,5199968,0,21020178,26096612,465746,1237804.29,1598333,0.179,0.105,35.11675291651531,671692,32080,4692,287022,40880,32.7,0.4979235553168949,7.667204611637476e-4,TRUE,FALSE
Lawndale,Los Angeles,90260,Low,72.49,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.43,0.07,2.41,0.03,0.41,0.78,0.03,0.07,0.23,0,6224730,2582460,1183646,17715103,-0.05,6143591,14159341,6929628,5763383,6143591,12865649,13083932,13457727,7233212,0,24579158,31697572,600369,1162164.98,4059091,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
